FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,30,3,9,4,2,9,1,14,2023/01/09/12:50:05,00:00:58.0,00:01:00.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3,7.9,9.5,0,0,5,2,0,0,5,1,0,7,1,6.9,6,7.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,31,2,10,1,10,9,1,17,2023/01/09/12:50:05,00:01:00.0,00:01:02.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.7,8.7,0,0,0,5,2,8.3,5.4,5,1,0,7,9.5,8.1,0.6,1.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,32,1,2,2,2,2,1,-14,2023/01/09/12:50:05,00:01:02.0,00:01:04.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,3,4.2,0,0,5,2,5.9,4.7,5.3,2,0.6,5,1.6,1.1,5.1,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,33,2,10,1,10,9,1,15,2023/01/09/12:50:05,00:01:04.0,00:01:06.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,9.2,4.1,0,0,5,2,7.5,6.3,3.6,1.5,1.4,6,8.3,6.3,5.3,7.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,34,2,10,1,10,9,1,14,2023/01/09/12:50:05,00:01:06.0,00:01:08.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,8.9,9.1,0,0,5,2,6.2,7,0,1.5,0.7,6,8.4,6,5,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,35,2,10,1,10,9,1,14,2023/01/09/12:50:05,00:01:08.0,00:01:10.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,8.8,3.5,0,0,5,2,3.5,7,2.6,1.5,0,6,9.1,6.2,4.5,6.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,36,2,10,1,10,9,1,6,2023/01/09/12:50:05,00:01:10.0,00:01:12.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,8.3,0,0,0,5,2,10,4.9,5,0,0,0,1,3.1,4.2,4.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,37,2,10,2,10,2,1,-5,2023/01/09/12:50:05,00:01:12.0,00:01:14.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,3.1,5.9,0,0,5,2,8.7,4,7,1,0,5,1.1,2.8,4.8,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,38,2,10,2,10,2,1,-12,2023/01/09/12:50:05,00:01:14.0,00:01:16.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,3.1,4.9,0,0,5,2,8,3.9,6.4,1.5,2.1,10,1.4,1.3,5.1,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,39,1,2,2,2,1,1,-18,2023/01/09/12:50:05,00:01:16.0,00:01:18.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,2.4,4.6,0,0,5,2,2.7,6.2,6.3,1.5,1.4,10,1.4,0.8,5.1,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,40,2,10,4,10,2,1,-20,2023/01/09/12:50:05,00:01:18.0,00:01:20.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,4,4.2,0,0,5,2,6.1,4.6,6.3,1.5,1.4,6,1.1,0.2,5,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,41,1,2,2,2,1,1,-9,2023/01/09/12:50:05,00:01:20.0,00:01:22.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,2.3,4.8,0,0,5,2,7.3,4.8,3.4,2,0,5,1.5,2.5,4.8,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,42,1,2,2,2,1,1,-16,2023/01/09/12:50:05,00:01:22.0,00:01:24.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,2.7,5.1,0,0,5,2,6,4.9,7.8,2,0,5,1.3,1,5.1,5.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,43,3,9,2,2,9,1,-7,2023/01/09/12:50:05,00:01:24.0,00:01:26.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,2.7,5,0,0,5,2,4.5,6.4,3.7,1.5,0,6,1.5,2.7,5.4,5.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,44,2,10,4,10,9,1,10,2023/01/09/12:50:05,00:01:26.0,00:01:28.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3,6.8,9.8,0,0,5,2,8.3,4.4,8.2,0.5,0,6,8.1,5.2,6.2,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,45,2,10,1,10,9,1,13,2023/01/09/12:50:05,00:01:28.0,00:01:30.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.3,6.8,0,0,5,2,7.3,5.2,5.5,2,0.6,5,6.7,6.4,5.3,7.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,46,2,10,1,10,9,1,10,2023/01/09/12:50:05,00:01:30.0,00:01:32.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,6.9,6.9,0,0,5,2,5.7,4.4,2.7,0.5,0,6,8.1,5.2,4.7,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,47,2,10,1,10,9,1,10,2023/01/09/12:50:05,00:01:32.0,00:01:34.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,3.4,0,0,5,2,4.2,6.5,5.9,0.5,0,6,8.2,4.8,5.6,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,48,2,10,4,10,9,1,12,2023/01/09/12:50:05,00:01:34.0,00:01:36.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7,4.2,0,0,5,2,9.3,4.7,1.5,0.5,0,6,1.5,6.2,3.8,3.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,49,2,10,4,10,9,1,10,2023/01/09/12:50:05,00:01:36.0,00:01:38.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6.2,6.5,0,0,5,2,10,1.4,5,1.5,0,6,1.5,5.8,5.3,6.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,50,2,10,4,10,2,1,7,2023/01/09/12:50:05,00:01:38.0,00:01:40.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,4.8,2.6,0,0,5,2,1.4,0,5,0.5,0,6,1.1,5.9,6.2,7.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,51,2,10,1,10,9,1,15,2023/01/09/12:50:05,00:01:40.0,00:01:42.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7,8.2,3,0,0,5,2,1.4,4.6,4.2,1,0,7,9.1,7.4,5.1,2.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,52,2,10,1,10,9,1,12,2023/01/09/12:50:05,00:01:42.0,00:01:44.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,7.4,6.6,0,0,5,2,8.7,3.9,5.6,1,0,5,7.2,5.9,4.7,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,53,2,10,1,10,9,1,11,2023/01/09/12:50:05,00:01:44.0,00:01:46.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8.2,1.2,0,0,5,2,9.4,4.6,0,1,0,7,8.3,5.1,4.9,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,54,2,10,1,10,9,1,10,2023/01/09/12:50:05,00:01:46.0,00:01:48.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.6,8,0,0,0,5,2,8.3,6.3,5.7,1.5,1.4,6,6.1,4.5,4.4,4.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,55,1,4,4,2,2,1,-3,2023/01/09/12:50:05,00:01:48.0,00:01:50.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.7,3.9,4.1,0,0,5,2,4.3,0,5,2.5,0,6,1,2.7,4.6,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,56,3,9,4,2,9,1,4,2023/01/09/12:50:05,00:01:50.0,00:01:52.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.9,4.2,5.4,0,0,5,2,3.4,4.8,3.2,1.5,0.7,6,1.4,4.8,5.8,4.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,57,3,9,2,2,9,1,-12,2023/01/09/12:50:05,00:01:52.0,00:01:54.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,2.9,4.7,0,0,5,2,9.1,5.6,4,1,0,5,1.4,1.5,5,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,58,1,2,2,2,2,1,-20,2023/01/09/12:50:05,00:01:54.0,00:01:56.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,2.3,5.1,0,0,5,2,7.4,4.6,6,2,1.2,5,1.4,0.5,5,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,59,3,9,3,2,9,1,-20,2023/01/09/12:50:05,00:01:56.0,00:01:58.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.5,2.3,4.8,0,0,5,2,4.1,6,3.4,2,0,5,1.4,0.6,5,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,60,1,2,2,2,2,1,-11,2023/01/09/12:50:05,00:01:58.0,00:02:00.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.5,2.1,5,0,0,5,2,5.5,4.7,4.8,2,0.6,5,1.4,2.2,5.3,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,61,2,10,4,10,2,1,-4,2023/01/09/12:50:05,00:02:00.0,00:02:02.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,4.9,6.9,0,0,5,2,6.2,4.3,5,1,0,5,1.4,1.9,5.5,5.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,62,3,9,4,2,9,1,3,2023/01/09/12:50:05,00:02:02.0,00:02:04.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6.2,7.7,0,0,5,2,10,0,5,1,0,5,1.4,3.1,5.2,6.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,63,3,9,4,2,9,1,1,2023/01/09/12:50:05,00:02:04.0,00:02:06.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.9,5.9,2.3,0,0,5,2,0,0,5,1.5,2.1,10,1.5,2.8,5.2,6.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,64,2,10,1,10,9,1,13,2023/01/09/12:50:05,00:02:06.0,00:02:08.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.6,8.5,10,0,0,5,2,8.5,5.7,9.7,1.5,0,6,1.6,6,6.5,7.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,65,1,4,4,2,2,1,0,2023/01/09/12:50:05,00:02:08.0,00:02:10.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,3.2,5.8,0,0,5,2,8,3.1,5.7,1,0,7,1.4,4.5,5.2,4.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,66,1,4,4,2,2,1,-14,2023/01/09/12:50:05,00:02:10.0,00:02:12.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,3.8,5.9,0,0,5,2,8.3,7.4,10,1.5,0.7,6,1.1,0.9,5.1,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,67,2,10,4,10,9,1,3,2023/01/09/12:50:05,00:02:12.0,00:02:14.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,4.7,3.7,0,0,5,2,5.3,4.8,4.5,1,0,7,1,3.9,4.7,5.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,68,1,2,2,2,2,1,-6,2023/01/09/12:50:05,00:02:14.0,00:02:16.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,2.8,5.5,0,0,5,2,2.6,7.2,6.6,1.5,0,10,1.4,2.7,5.4,5.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,69,2,10,1,10,9,1,10,2023/01/09/12:50:05,00:02:16.0,00:02:18.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8.5,10,0,0,5,2,5.7,7.4,5.9,2,0.6,5,1.6,4.3,5.9,6.1,0
