FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,23,2,10,1,10,9,1,15,2023/01/09/12:50:08,00:00:44.0,00:00:46.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,10,0,0,0,5,2,7.5,5.5,4.1,2.5,0.5,10,9.5,6.1,5.2,3.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,24,1,7,7,1,2,3,6,2023/01/09/12:50:08,00:00:46.0,00:00:48.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,4.7,5.5,0,0,5,2,10,0,5,2,1.2,5,8.9,5.5,5.8,4.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,25,2,10,1,10,9,1,16,2023/01/09/12:50:08,00:00:48.0,00:00:50.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,10,10,0,0,5,2,0,0,5,2,0.6,5,9.7,6.7,7.6,6.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,26,2,10,1,10,9,1,16,2023/01/09/12:50:08,00:00:50.0,00:00:52.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,10,0,0,0,5,2,4.9,0,5,1.5,0,6,9.7,6.5,3.3,2.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,27,1,7,7,1,2,1,8,2023/01/09/12:50:08,00:00:52.0,00:00:54.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,4.8,7.5,0,0,5,2,10,4.4,5,1.5,1.4,6,3,6.3,6.5,9.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,28,4,10,2,1,2,10,-1,2023/01/09/12:50:08,00:00:54.0,00:00:56.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3,6.2,0,0,5,2,0,0,5,2,0.6,5,7,4.2,3.9,3.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,29,2,10,1,10,9,1,13,2023/01/09/12:50:08,00:00:56.0,00:00:58.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,10,10,0,0,5,2,10,2.7,5,2,0,5,9.5,5.1,5.8,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,30,2,10,1,10,9,1,17,2023/01/09/12:50:08,00:00:58.0,00:01:00.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,10,0,0,0,5,2,0,0,5,2,0,5,9.1,7.4,5,5.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,31,3,9,4,1,9,1,10,2023/01/09/12:50:08,00:01:00.0,00:01:02.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,5.8,2.6,0,0,5,2,4.9,7.3,5.4,1.5,1.4,10,9.1,6.4,3.6,3.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,32,1,4,4,1,2,1,1,2023/01/09/12:50:08,00:01:02.0,00:01:04.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,4.9,6.6,0,0,5,2,10,0,5,1,0,7,4.1,3.3,4.9,4.5,0
