FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,206,4,9,2,1,7,9,12,2022/12/28/14:05:41,00:09:31.0,00:09:32.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,207,3,10,0,1,10,9,20,2022/12/28/14:05:41,00:09:34.1,00:09:35.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,208,3,7,2,1,7,3,-10,2022/12/28/14:05:41,00:09:37.9,00:09:38.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,209,1,4,4,1,2,4,19,2022/12/28/14:05:41,00:09:39.0,00:09:39.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,210,4,10,2,1,7,10,11,2022/12/28/14:05:41,00:09:41.2,00:09:42.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,211,3,10,2,1,10,4,12,2022/12/28/14:05:41,00:09:47.5,00:09:48.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,212,4,9,2,2,7,9,18,2022/12/28/14:05:41,00:09:48.7,00:09:51.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,213,3,10,2,1,10,3,20,2022/12/28/14:05:41,00:09:52.9,00:09:53.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,214,3,10,4,1,10,4,9,2022/12/28/14:05:41,00:09:54.2,00:09:54.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,215,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:09:55.5,00:09:59.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,216,3,7,2,1,7,4,17,2022/12/28/14:05:41,00:09:59.7,00:10:01.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,217,3,10,1,1,10,3,20,2022/12/28/14:05:41,00:10:02.2,00:10:03.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,218,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:10:05.3,00:10:06.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,219,3,7,2,1,7,4,-20,2022/12/28/14:05:41,00:10:07.2,00:10:07.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,220,3,10,1,1,10,10,-3,2022/12/28/14:05:41,00:10:08.4,00:10:08.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,221,3,10,0,2,10,9,11,2022/12/28/14:05:41,00:10:09.4,00:10:12.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,222,3,10,2,2,10,4,7,2022/12/28/14:05:41,00:10:15.0,00:10:17.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,223,4,9,2,1,7,9,18,2022/12/28/14:05:41,00:10:18.3,00:10:19.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,224,4,3,2,1,2,3,16,2022/12/28/14:05:41,00:10:19.8,00:10:21.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,225,3,10,4,1,10,4,6,2022/12/28/14:05:41,00:10:21.5,00:10:23.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,226,3,10,4,1,10,3,-2,2022/12/28/14:05:41,00:10:23.9,00:10:25.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,227,4,10,1,1,7,10,7,2022/12/28/14:05:41,00:10:25.8,00:10:27.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,228,3,10,1,2,10,9,7,2022/12/28/14:05:41,00:10:28.7,00:10:31.1,1,OK
